401901532,USD,6.23,2023-09-11T21:23:36-0400
401901528,USD,11.00,2023-09-11T20:23:28-0500
401901527,USD,20.43,2023-09-11T21:22:58-0400
100810974,USD,18.23,2023-09-11T20:21:56-0500
401901524,USD,42.00,2023-09-11T21:20:34-0400
401901521,USD,30.00,2023-09-11T20:19:42-0500
401901516,USD,124.17,2023-09-11T20:19:02-0500
100810972,USD,10.58,2023-09-11T18:18:51-0700
401901520,USD,8.57,2023-09-12T11:18:43+1000
401901497,USD,34.59,2023-09-11T21:18:23-0400
401901504,USD,30.00,2023-09-11T21:13:15-0400
401901505,USD,77.00,2023-09-11T20:12:34-0500
401901508,USD,24.32,2023-09-11T20:12:33-0500
401901507,USD,11.13,2023-09-11T20:12:21-0500
401901503,USD,2.00,2023-09-11T20:11:08-0500
401901501,USD,106.16,2023-09-11T20:10:13-0500
100810964,USD,87.00,2023-09-11T20:09:44-0500
401901499,USD,11.95,2023-09-11T21:09:15-0400
401901480,USD,47.69,2023-09-11T21:07:05-0400
100810961,USD,86.52,2023-09-11T20:06:45-0500
401901494,USD,84.11,2023-09-11T20:05:18-0500
401901479,USD,6.74,2023-09-11T21:05:06-0400
100810960,USD,6.76,2023-09-11T21:04:52-0400
401901493,USD,6.26,2023-09-11T21:04:22-0400
401901490,USD,17.00,2023-09-11T21:03:04-0400
401901486,USD,11.28,2023-09-11T20:03:02-0500
401901489,USD,20.68,2023-09-11T21:00:47-0400
401901487,USD,2.55,2023-09-11T20:59:32-0400
401901384,USD,26.00,2023-09-11T20:58:47-0400
100810954,USD,21.60,2023-09-11T20:57:18-0400
100810955,USD,102.95,2023-09-11T20:56:01-0400
401901481,USD,35.95,2023-09-11T20:55:45-0400
401901474,USD,28.04,2023-09-11T17:52:45-0700
100810948,USD,47.31,2023-09-11T17:52:18-0700
401901475,USD,102.00,2023-09-11T17:51:56-0700
100810950,USD,27.50,2023-09-11T20:51:20-0400
100810950,USD,27.50,2023-09-11T20:51:01-0400
401901472,USD,10.80,2023-09-11T20:50:54-0400
401901469,USD,44.21,2023-09-11T20:50:02-0400
401901464,USD,22.33,2023-09-11T20:49:54-0400
100810946,USD,53.00,2023-09-11T20:49:30-0400
401901465,USD,60.00,2023-09-11T20:48:57-0400
401901468,USD,58.95,2023-09-11T20:48:55-0400
100810945,USD,62.00,2023-09-11T19:48:21-0500
401901467,USD,26.76,2023-09-11T19:47:59-0500
401901461,USD,5.55,2023-09-11T20:47:27-0400
401901460,USD,22.00,2023-09-11T20:47:13-0400
401901462,USD,6.74,2023-09-11T19:47:03-0500
401901463,USD,16.80,2023-09-11T19:46:45-0500
401901459,USD,62.45,2023-09-11T20:45:43-0400
401901444,USD,30.91,2023-09-11T17:45:12-0700
401901454,USD,21.58,2023-09-11T20:44:25-0400
401901453,USD,9.30,2023-09-11T20:47:25-0400
401901445,USD,28.76,2023-09-11T17:43:13-0700
401901391,USD,46.86,2023-09-11T20:39:59-0400
401900418,USD,4.52,2023-09-11T20:38:49-0400
401900064,USD,83.96,2023-09-11T20:38:48-0400
401901441,USD,15.95,2023-09-11T19:36:42-0500
401901440,USD,73.66,2023-09-11T19:36:41-0500
401901439,USD,40.70,2023-09-11T19:35:50-0500
100810928,USD,11.18,2023-09-11T18:32:39-0600
100810932,USD,18.00,2023-09-11T20:31:54-0400
100810930,USD,42.99,2023-09-11T20:28:29-0400
401901430,USD,35.55,2023-09-11T19:28:02-0500
100810927,USD,26.85,2023-09-11T19:26:29-0500
401901425,USD,17.00,2023-09-11T20:25:31-0400
401901426,USD,7.00,2023-09-11T19:25:03-0500
100810924,USD,25.92,2023-09-11T20:23:29-0400
100810922,USD,37.83,2023-09-11T20:23:11-0400
401901420,USD,30.95,2023-09-11T20:22:37-0400
401901418,USD,19.55,2023-09-11T19:21:51-0500
401901417,USD,88.95,2023-09-11T19:18:33-0500
401901415,USD,28.17,2023-09-11T20:18:11-0400
401901414,USD,80.12,2023-09-11T19:17:48-0500
100810921,USD,56.00,2023-09-11T20:15:58-0400
100810920,USD,56.60,2023-09-11T20:15:44-0400
100810919,USD,44.16,2023-09-11T18:15:16-0600
401901408,USD,4.95,2023-09-11T20:13:32-0400
401901406,USD,2.00,2023-09-11T20:13:26-0400
401901409,USD,4.95,2023-09-11T20:13:13-0400
401901404,USD,25.95,2023-09-11T20:12:56-0400
401901405,USD,19.80,2023-09-11T20:11:40-0400
401901402,USD,7.00,2023-09-11T19:10:31-0500
401901401,USD,21.08,2023-09-11T20:10:19-0400
401901396,USD,9.00,2023-09-11T19:09:54-0500
401901399,USD,31.36,2023-09-11T21:09:34-0300
401901398,USD,6.62,2023-09-11T20:08:25-0400
401901397,USD,20.00,2023-09-11T19:08:22-0500
401901392,USD,34.76,2023-09-11T20:08:13-0400
401901394,USD,17.00,2023-09-11T17:07:20-0700
